\u00F1\u006A\u0068,\u24B8\u0DA4\u200D\u0DCA\u0DA3\u0DCA
\u006D\u0062\u0068,\u24B8\u0DB8\u200D\u0DCA\u0DB7\u0DCA
\u1E45\u0067\u0068,\u24B8\u0D9E\u200D\u0DCA\u0D9D\u0DCA
\u1E47\u1E0D\u0068,\u24B8\u0DAB\u200D\u0DCA\u0DAA\u0DCA
\u006E\u0064\u0068,\u24B8\u0DB1\u0DCA\u200D\u0DB0\u0DCA
\u006E\u0074\u0068,\u24B8\u0DB1\u0DCA\u200D\u0DAE\u0DCA
\u0074\u0074\u0068,\u24B8\u0DAD\u0DCA\u200D\u0DAE\u0DCA
\u0064\u0064\u0068,\u24B8\u0DAF\u0DCA\u200D\u0DB0\u0DCA
\u1E6D\u1E6D\u0068,\u24B8\u0DA7\u0DCA\u200D\u0DA8\u0DCA
\u006B\u0076,\u24B8\u0D9A\u0DCA\u200D\u0DC0\u0DCA
\u006B\u1E63,\u24B8\u0D9A\u0DCA\u200D\u0DC2\u0DCA
\u0074\u0076,\u24B8\u0DAD\u0DCA\u200D\u0DC0\u0DCA
\u006E\u0064,\u24B8\u0DB1\u0DCA\u200D\u0DAF\u0DCA
\u006E\u0076,\u24B8\u0DB1\u0DCA\u200D\u0DC0\u0DCA
\u00F1\u0063,\u24B8\u0DA4\u0DCA\u200D\u0DA0\u0DCA
\u0064\u0076,\u24B8\u0DAF\u0DCA\u200D\u0DC0\u0DCA
\u1E45\u0067,\u24B8\u0D9F\u0DCA
\u00F1\u006A,\u24B8\u0DA6\u0DCA
\u1E47\u1E0D,\u24B8\u0DAC\u0DCA
\u006D\u0062,\u24B8\u0DB9\u0DCA
\u006A\u00F1,\u24B8\u0DA5\u0DCA
\u1E41,\u0D82
\u006B\u0068,\u24B8\u0D9B\u0DCA
\u0067\u0068,\u24B8\u0D9D\u0DCA
\u0063\u0068,\u24B8\u0DA1\u0DCA
\u006A\u0068,\u24B8\u0DA3\u0DCA
\u1E6D\u0068,\u24B8\u0DA8\u0DCA
\u1E0D\u0068,\u24B8\u0DAA\u0DCA
\u0074\u0068,\u24B8\u0DAE\u0DCA
\u0064\u0068,\u24B8\u0DB0\u0DCA
\u0070\u0068,\u24B8\u0DB5\u0DCA
\u0062\u0068,\u24B8\u0DB7\u0DCA
\u006B,\u24B8\u0D9A\u0DCA
\u0067,\u24B8\u0D9C\u0DCA
\u1E45,\u24B8\u0D9E\u0DCA
\u0063,\u24B8\u0DA0\u0DCA
\u006A,\u24B8\u0DA2\u0DCA
\u00F1,\u24B8\u0DA4\u0DCA
\u1E6D,\u24B8\u0DA7\u0DCA
\u1E0D,\u24B8\u0DA9\u0DCA
\u1E47,\u24B8\u0DAB\u0DCA
\u0074,\u24B8\u0DAD\u0DCA
\u0064,\u24B8\u0DAF\u0DCA
\u006E,\u24B8\u0DB1\u0DCA
\u0070,\u24B8\u0DB4\u0DCA
\u0062,\u24B8\u0DB6\u0DCA
\u006D,\u24B8\u0DB8\u0DCA
\u0079,\u24B8\u0DBA\u0DCA
\u0072,\u24B8\u0DBB\u0DCA
\u006C,\u24B8\u0DBD\u0DCA
\u0076,\u24B8\u0DC0\u0DCA
\u0073,\u24B8\u0DC3\u0DCA
\u0068,\u24B8\u0DC4\u0DCA
\u1E37,\u24B8\u0DC5\u0DCA
\u0DCA\u24B8\u0DBB,\u0DCA\u200D\u0DBB
\u0DCA\u24B8\u0DBA,\u0DCA\u200D\u0DBA
\u0DBB\u0DCA\u24B8,\u0DBB\u0DCA\u200D
\u0DCA\u24B8,\u200D\u0DCA
\u24B8,
\u0061\u0069,\u0D93
\u0061\u0075,\u0D96
\u0061,\u0D85
\u0101,\u0D86
\u0069,\u0D89
\u012B,\u0D8A
\u0075,\u0D8B
\u016B,\u0D8C
\u0065,\u0D91
\u0113,\u0D92
\u006F,\u0D94
\u014D,\u0D95
\u0DCA\u0D85,
\u0DCA\u0D86,\u0DCF
\u0DCA\u0D89,\u0DD2
\u0DCA\u0D8A,\u0DD3
\u0DCA\u0D8B,\u0DD4
\u0DCA\u0D8C,\u0DD6
\u0DCA\u0D91,\u0DD9
\u0DCA\u0D92,\u0DDA
\u0DCA\u0D94,\u0DDC
\u0DCA\u0D95,\u0DDD
\u0DCA\u0D93,\u0DDB
\u0DCA\u0D96,\u0DDE
\u002E,\u0DF4
\u007C,\u0DF4
\u0DF4\u0020,\u0DF4
