\u006B\u0068,\u0E02\u0E3A
\u0067\u0068,\u0E06\u0E3A
\u0063\u0068,\u0E09\u0E3A
\u006A\u0068,\u0E0C\u0E3A
\u1E6D\u0068,\u0E10\u0E3A
\u1E0D\u0068,\u0E12\u0E3A
\u0074\u0068,\u0E16\u0E3A
\u0064\u0068,\u0E18\u0E3A
\u0070\u0068,\u0E1C\u0E3A
\u0062\u0068,\u0E20\u0E3A
\u006B,\u0E01\u0E3A
\u0067,\u0E04\u0E3A
\u1E45,\u0E07\u0E3A
\u0063,\u0E08\u0E3A
\u006A,\u0E0A\u0E3A
\u00F1,\u0E0D\u0E3A
\u1E6D,\u0E0F\u0E3A
\u1E0D,\u0E11\u0E3A
\u1E47,\u0E13\u0E3A
\u0074,\u0E15\u0E3A
\u0064,\u0E17\u0E3A
\u006E,\u0E19\u0E3A
\u0070,\u0E1B\u0E3A
\u0062,\u0E1E\u0E3A
\u006D,\u0E21\u0E3A
\u0079,\u0E22\u0E3A
\u0072,\u0E23\u0E3A
\u006C,\u0E25\u0E3A
\u1E37,\u0E2C\u0E3A
\u0076,\u0E27\u0E3A
\u0073,\u0E2A\u0E3A
\u0068,\u0E2B\u0E3A
\u0061,\u0E2D
\u0101,\u0E2D\u0E32
\u0069,\u0E2D\u0E34
\u012B,\u0E2D\u0E35
\u0075,\u0E2D\u0E38
\u016B,\u0E2D\u0E39
\u0065,\u0E40\u0E2D
\u006F,\u0E42\u0E2D
\u0E3A\u0E2D\u0E32,\u0E32
\u0E3A\u0E2D,\u24D0
\u0E3A\u0E2D\u0E34,\u0E34
\u0E3A\u0E2D\u0E35,\u0E35
\u0E3A\u0E2D\u0E38,\u0E38
\u0E3A\u0E2D\u0E39,\u0E39
\u0E3A\u0E40\u0E2D,\u0E40
\u0E3A\u0E42\u0E2D,\u0E42
\u0E02\u0E40,\u0E40\u0E02
\u0E06\u0E40,\u0E40\u0E06
\u0E09\u0E40,\u0E40\u0E09
\u0E0C\u0E40,\u0E40\u0E0C
\u0E10\u0E40,\u0E40\u0E10
\u0E12\u0E40,\u0E40\u0E12
\u0E16\u0E40,\u0E40\u0E16
\u0E18\u0E40,\u0E40\u0E18
\u0E1C\u0E40,\u0E40\u0E1C
\u0E20\u0E40,\u0E40\u0E20
\u0E01\u0E40,\u0E40\u0E01
\u0E04\u0E40,\u0E40\u0E04
\u0E07\u0E40,\u0E40\u0E07
\u0E08\u0E40,\u0E40\u0E08
\u0E0A\u0E40,\u0E40\u0E0A
\u0E0D\u0E40,\u0E40\u0E0D
\u0E0F\u0E40,\u0E40\u0E0F
\u0E11\u0E40,\u0E40\u0E11
\u0E13\u0E40,\u0E40\u0E13
\u0E15\u0E40,\u0E40\u0E15
\u0E17\u0E40,\u0E40\u0E17
\u0E19\u0E40,\u0E40\u0E19
\u0E1B\u0E40,\u0E40\u0E1B
\u0E1E\u0E40,\u0E40\u0E1E
\u0E21\u0E40,\u0E40\u0E21
\u0E22\u0E40,\u0E40\u0E22
\u0E23\u0E40,\u0E40\u0E23
\u0E25\u0E40,\u0E40\u0E25
\u0E2C\u0E40,\u0E40\u0E2C
\u0E27\u0E40,\u0E40\u0E27
\u0E2A\u0E40,\u0E40\u0E2A
\u0E2B\u0E40,\u0E40\u0E2B
\u0E02\u0E42,\u0E42\u0E02
\u0E06\u0E42,\u0E42\u0E06
\u0E09\u0E42,\u0E42\u0E09
\u0E0C\u0E42,\u0E42\u0E0C
\u0E10\u0E42,\u0E42\u0E10
\u0E12\u0E42,\u0E42\u0E12
\u0E16\u0E42,\u0E42\u0E16
\u0E18\u0E42,\u0E42\u0E18
\u0E1C\u0E42,\u0E42\u0E1C
\u0E20\u0E42,\u0E42\u0E20
\u0E01\u0E42,\u0E42\u0E01
\u0E04\u0E42,\u0E42\u0E04
\u0E07\u0E42,\u0E42\u0E07
\u0E08\u0E42,\u0E42\u0E08
\u0E0A\u0E42,\u0E42\u0E0A
\u0E0D\u0E42,\u0E42\u0E0D
\u0E0F\u0E42,\u0E42\u0E0F
\u0E11\u0E42,\u0E42\u0E11
\u0E13\u0E42,\u0E42\u0E13
\u0E15\u0E42,\u0E42\u0E15
\u0E17\u0E42,\u0E42\u0E17
\u0E19\u0E42,\u0E42\u0E19
\u0E1B\u0E42,\u0E42\u0E1B
\u0E1E\u0E42,\u0E42\u0E1E
\u0E21\u0E42,\u0E42\u0E21
\u0E22\u0E42,\u0E42\u0E22
\u0E23\u0E42,\u0E42\u0E23
\u0E25\u0E42,\u0E42\u0E25
\u0E2C\u0E42,\u0E42\u0E2C
\u0E27\u0E42,\u0E42\u0E27
\u0E2A\u0E42,\u0E42\u0E2A
\u0E2B\u0E42,\u0E42\u0E2B
\u24D0,
\u1E41,\u0E4D
\u007C\u007C,\u0E5A
\u007C,\u0E2F
\u002E,\u0E2F
\u0030,\u0E50
\u0031,\u0E51
\u0032,\u0E52
\u0033,\u0E53
\u0034,\u0E54
\u0035,\u0E55
\u0036,\u0E56
\u0037,\u0E57
\u0038,\u0E58
\u0039,\u0E59
